"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4443","@smoke Test get by locators","chromium","2026-09-21","passed","2026-09-21","","GetByLocators.spec.js","",""
"","35729","@smoke Test get by locators","firefox","2026-09-21","failed","2026-09-21","","GetByLocators.spec.js","",""
"","26493","@smoke Test get by locators","webkit","2026-09-21","passed","2026-09-21","","GetByLocators.spec.js","",""
"","23679","@smoke Successful login and check","webkit","2026-09-21","passed","2026-09-21","","NWInterceptsAbort.spec.js","",""
"","13378","@smoke playwright test with browser fixture","chromium","2026-09-21","failed","2026-09-21","","UIbasicsTest.spec.js","",""
"","39199","@smoke playwright test with browser fixture","firefox","2026-09-21","failed","2026-09-21","","UIbasicsTest.spec.js","",""
"","12907","First Assignment check","","2026-09-23","passed","2026-09-23","","StorageState.spec.js","",""
"","12748","@smoke playwright test with browser fixture","webkit","2026-09-21","failed","2026-09-21","","UIbasicsTest.spec.js","",""
"","12574","Second Assignment check","","2026-09-23","passed","2026-09-23","","StorageState.spec.js","",""
"","47601","@smoke Successful login and check","firefox","2026-09-21","passed","2026-09-21","","NWInterceptsAbort.spec.js","",""
"","10020","@smoke Successful login and check","chromium","2026-09-21","passed","2026-09-21","","NWInterceptsAbort.spec.js","",""
